data_referencia,secao,item,metrica,valor
2026-05-29,parametros_nss,PREFIXADOS,Beta 1,0.14033782939329
2026-05-29,parametros_nss,PREFIXADOS,Beta 2,0.00255267619585579
2026-05-29,parametros_nss,PREFIXADOS,Beta 3,-0.0208656178964743
2026-05-29,parametros_nss,PREFIXADOS,Beta 4,0.0135136440199781
2026-05-29,parametros_nss,PREFIXADOS,Lambda 1,0.963906184248903
2026-05-29,parametros_nss,PREFIXADOS,Lambda 2,0.364755369869782
2026-05-29,parametros_nss,IPCA,Beta 1,0.0676646630768185
2026-05-29,parametros_nss,IPCA,Beta 2,0.0482630108900859
2026-05-29,parametros_nss,IPCA,Beta 3,-0.0461949459236402
2026-05-29,parametros_nss,IPCA,Beta 4,0.041425116722569
2026-05-29,parametros_nss,IPCA,Lambda 1,2.33795207870162
2026-05-29,parametros_nss,IPCA,Lambda 2,0.520136412715787
2026-05-29,ettj_inflacao_implicita,126,ETTJ IPCA,8.7774
2026-05-29,ettj_inflacao_implicita,126,ETTJ PREF,13.9785
2026-05-29,ettj_inflacao_implicita,126,Inflacao Implicita,4.7814
2026-05-29,ettj_inflacao_implicita,252,ETTJ IPCA,8.0598
2026-05-29,ettj_inflacao_implicita,252,ETTJ PREF,13.8483
2026-05-29,ettj_inflacao_implicita,252,Inflacao Implicita,5.3567
2026-05-29,ettj_inflacao_implicita,378,ETTJ IPCA,7.9397
2026-05-29,ettj_inflacao_implicita,378,ETTJ PREF,13.8159
2026-05-29,ettj_inflacao_implicita,378,Inflacao Implicita,5.4439
2026-05-29,ettj_inflacao_implicita,504,ETTJ IPCA,7.9645
2026-05-29,ettj_inflacao_implicita,504,ETTJ PREF,13.8332
2026-05-29,ettj_inflacao_implicita,504,Inflacao Implicita,5.4357
2026-05-29,ettj_inflacao_implicita,630,ETTJ IPCA,8.0043
2026-05-29,ettj_inflacao_implicita,630,ETTJ PREF,13.8731
2026-05-29,ettj_inflacao_implicita,630,Inflacao Implicita,5.4338
2026-05-29,ettj_inflacao_implicita,756,ETTJ IPCA,8.027
2026-05-29,ettj_inflacao_implicita,756,ETTJ PREF,13.9204
2026-05-29,ettj_inflacao_implicita,756,Inflacao Implicita,5.4554
2026-05-29,ettj_inflacao_implicita,882,ETTJ IPCA,8.0291
2026-05-29,ettj_inflacao_implicita,882,ETTJ PREF,13.9672
2026-05-29,ettj_inflacao_implicita,882,Inflacao Implicita,5.4967
2026-05-29,ettj_inflacao_implicita,1.008,ETTJ IPCA,8.0141
2026-05-29,ettj_inflacao_implicita,1.008,ETTJ PREF,14.0097
2026-05-29,ettj_inflacao_implicita,1.008,Inflacao Implicita,5.5507
