data,valor
2021-05-06,25.7
2021-05-07,24.01
2021-05-10,23.85
2021-05-11,24.97
2021-05-12,26.94
2021-05-13,26.34
2021-05-14,24.8
2021-05-17,24.8
2021-05-18,24.8
2021-05-19,24.8
2021-05-20,24.8
2021-05-21,24.8
2021-05-24,23.69
2021-05-25,22.62
2021-05-26,22.22
2021-05-27,21.41
2021-05-28,20.82
2021-05-31,21.01
2021-06-01,20.4
2021-06-02,20.49
2021-06-04,20.29
2021-06-07,20.47
2021-06-08,20.7
2021-06-09,20.04
2021-06-10,20.05
2021-06-11,20.41
2021-06-14,20.65
2021-06-15,20.88
2021-06-16,21.57
2021-06-17,22.78
2021-06-18,22.78
2021-06-21,22.78
2021-06-22,22.58
2021-06-23,21.66
2021-06-24,21.19
2021-06-25,22.07
2021-06-28,24.49
2021-06-29,23.44
2021-06-30,22.98
2021-07-01,23.31
2021-07-02,21.99
2021-07-05,21.28
2021-07-06,22.1
2021-07-07,21.02
2021-07-08,23.75
2021-07-12,21.78
2021-07-13,23.26
2021-07-14,21.24
2021-07-15,22.2
2021-07-16,21.6
2021-07-19,25.12
2021-07-20,24.45
2021-07-21,22.97
2021-07-22,22.23
2021-07-23,22.22
2021-07-26,21.92
2021-07-27,23.48
2021-07-28,22.47
2021-07-29,22.47
2021-07-30,24.35
2021-08-02,23.68
2021-08-03,23.68
2021-08-04,24.26
2021-08-05,23.32
2021-08-06,22.17
2021-08-09,21.9
2021-08-10,21.32
2021-08-11,21.05
2021-08-12,22.14
2021-08-13,23.06
2021-08-16,23.06
2021-08-17,26.59
2021-08-18,26.19
2021-08-19,27.4
2021-08-20,26.17
2021-08-23,25.17
2021-08-24,22.89
2021-08-25,22.85
2021-08-26,23.23
2021-08-27,23.07
2021-08-30,23.07
2021-08-31,23.66
2021-09-01,23.35
2021-09-02,24.13
2021-09-03,25.03
2021-09-06,25.65
2021-09-08,28.45
2021-09-09,29.1
2021-09-10,27.8
2021-09-13,27.13
2021-09-14,26.53
2021-09-15,26.99
2021-09-16,27.31
2021-09-17,28.87
2021-09-20,32.39
2021-09-21,30.32
2021-09-22,27.69
2021-09-23,25.9
2021-09-24,25.33
2021-09-27,25.57
2021-09-28,27.71
2021-09-29,27.44
2021-09-30,26.69
2021-10-01,25.87
2021-10-04,26.49
2021-10-05,25.5
2021-10-06,26.41
2021-10-07,25.34
2021-10-08,20.1
2021-10-11,24.9
2021-10-13,25.37
2021-10-14,24.13
2021-10-15,22.92
2021-10-18,24.11
2021-10-19,27.35
2021-10-20,27.91
2021-10-21,29.51
2021-10-22,31.25
2021-10-25,28.15
2021-10-26,28.13
2021-10-27,27.31
2021-10-28,25.98
2021-10-29,26.58
2021-11-01,30.79
2021-11-03,27.16
2021-11-04,31.29
2021-11-05,26.72
2021-11-08,33.0
2021-11-09,35.39
2021-11-10,33.94
2021-11-11,32.42
2021-11-12,32.59
2021-11-16,32.39
2021-11-17,32.72
2021-11-18,28.24
2021-11-19,33.39
2021-11-22,28.86
2021-11-23,28.59
2021-11-24,28.59
2021-11-25,27.7
2021-11-26,34.22
2021-11-29,30.63
2021-11-30,31.05
2021-12-01,30.46
2021-12-02,31.48
2021-12-03,30.44
2021-12-06,30.11
2021-12-07,28.09
2021-12-08,26.0
2021-12-09,25.93
2021-12-10,25.34
2021-12-13,25.85
2021-12-14,27.36
2021-12-15,27.27
2021-12-16,26.14
2021-12-17,27.24
2021-12-20,29.83
2021-12-21,27.27
2021-12-22,26.61
2021-12-23,25.3
2021-12-27,25.46
2021-12-28,25.24
2021-12-29,24.74
2021-12-30,24.84
2022-01-03,26.24
2022-01-04,25.4
2022-01-05,25.45
2022-01-06,25.74
2022-01-07,24.38
2022-01-10,25.46
2022-01-11,25.46
2022-01-12,25.34
2022-01-13,24.97
2022-01-14,25.24
2022-01-17,24.74
2022-01-18,24.76
2022-01-19,24.75
2022-01-20,24.44
2022-01-21,25.86
2022-01-24,29.35
2022-01-25,27.74
2022-01-26,25.4
2022-01-27,25.01
2022-01-28,24.93
2022-01-31,24.78
2022-02-01,23.61
2022-02-02,24.24
2022-02-03,23.7
2022-02-04,23.61
2022-02-07,23.49
2022-02-08,23.67
2022-02-09,21.51
2022-02-10,21.56
2022-02-11,23.33
2022-02-14,25.6
2022-02-15,23.46
2022-02-16,23.24
2022-02-17,23.8
2022-02-18,24.63
2022-02-21,25.98
2022-02-22,25.48
2022-02-23,25.0
2022-02-24,29.37
2022-02-25,25.82
2022-03-02,26.38
2022-03-03,26.29
2022-03-04,28.64
2022-03-07,29.99
2022-03-08,29.99
2022-03-09,26.87
2022-03-10,26.99
2022-03-11,27.21
2022-03-14,30.76
2022-03-15,30.76
2022-03-16,27.56
2022-03-17,25.71
2022-03-18,24.02
2022-03-21,23.48
2022-03-22,23.73
2022-03-23,22.14
2022-03-24,22.21
2022-03-25,22.11
2022-03-28,26.63
2022-03-29,21.97
2022-03-30,21.03
2022-03-31,19.73
2022-04-01,20.17
2022-04-04,20.17
2022-04-05,21.07
2022-04-06,22.51
2022-04-07,21.62
2022-04-08,21.82
2022-04-11,23.95
2022-04-12,23.38
2022-04-13,23.68
2022-04-14,21.81
2022-04-18,21.91
2022-04-19,21.51
2022-04-20,20.67
2022-04-22,24.31
2022-04-25,24.31
2022-04-26,26.51
2022-04-27,26.18
2022-04-28,25.7
2022-04-29,25.7
2022-05-02,30.32
2022-05-03,28.2
2022-05-04,28.03
2022-05-05,28.69
2022-05-06,28.69
2022-05-09,30.78
2022-05-10,30.78
2022-05-11,30.78
2022-05-12,28.66
2022-05-13,26.78
2022-05-16,25.88
2022-05-17,24.25
2022-05-18,26.88
2022-05-19,28.24
2022-05-20,25.18
2022-05-23,26.72
2022-05-24,25.58
2022-05-25,23.49
2022-05-26,21.72
2022-05-27,22.07
2022-05-30,22.96
2022-05-31,22.03
2022-06-01,21.38
2022-06-02,21.38
2022-06-03,21.38
2022-06-06,23.31
2022-06-07,23.31
2022-06-08,21.91
2022-06-09,22.6
2022-06-10,23.79
2022-06-13,27.83
2022-06-14,27.63
2022-06-15,26.75
2022-06-17,27.74
2022-06-20,27.99
2022-06-21,26.79
2022-06-22,25.98
2022-06-23,26.44
2022-06-24,26.65
2022-06-27,25.69
2022-06-28,25.69
2022-06-29,24.98
2022-06-30,27.12
2022-07-01,27.12
2022-07-04,25.76
2022-07-05,26.01
2022-07-06,26.01
2022-07-07,32.3
2022-07-08,22.77
2022-07-11,24.67
2022-07-12,24.9
2022-07-13,24.66
2022-07-14,25.32
2022-07-15,23.04
2022-07-18,22.9
2022-07-19,22.6
2022-07-20,22.67
2022-07-21,22.99
2022-07-22,23.06
2022-07-25,23.4
2022-07-26,23.6
2022-07-27,22.34
2022-07-28,22.09
2022-07-29,21.43
2022-08-01,22.9
2022-08-02,23.03
2022-08-03,22.49
2022-08-04,21.97
2022-08-05,22.22
2022-08-08,24.01
2022-08-09,24.18
2022-08-10,22.0
2022-08-11,22.05
2022-08-12,22.36
2022-08-15,24.8
2022-08-16,24.53
2022-08-17,24.04
2022-08-18,23.7
2022-08-19,25.69
2022-08-22,26.77
2022-08-23,25.82
2022-08-24,26.81
2022-08-25,26.55
2022-08-26,27.42
2022-08-29,27.67
2022-08-30,28.74
2022-08-31,28.67
2022-09-01,28.97
2022-09-02,28.97
2022-09-05,29.6
2022-09-06,29.71
2022-09-08,30.25
2022-09-09,30.25
2022-09-12,30.49
2022-09-13,31.39
2022-09-14,30.85
2022-09-15,29.92
2022-09-16,29.5
2022-09-19,30.06
2022-09-20,27.91
2022-09-21,29.07
2022-09-22,28.68
2022-09-23,30.21
2022-09-26,32.29
2022-09-27,33.37
2022-09-28,33.7
2022-09-29,34.67
2022-09-30,34.34
2022-10-03,30.99
2022-10-04,28.55
2022-10-05,29.04
2022-10-06,28.41
2022-10-07,30.29
2022-10-10,31.7
2022-10-11,31.96
2022-10-13,30.93
2022-10-14,30.13
2022-10-17,30.46
2022-10-18,30.14
2022-10-19,30.92
2022-10-20,31.6
2022-10-21,32.11
2022-10-24,32.11
2022-10-25,32.11
2022-10-26,32.11
2022-10-27,32.99
2022-10-28,32.95
2022-10-31,26.62
2022-11-01,26.65
2022-11-03,26.68
2022-11-04,24.69
2022-11-07,27.31
2022-11-08,28.24
2022-11-09,29.55
2022-11-10,31.45
2022-11-11,31.25
2022-11-14,29.15
2022-11-16,30.31
2022-11-17,30.31
2022-11-18,29.74
2022-11-21,28.93
