data,valor
2011-03-01,17.65
2011-04-01,18.22
2011-05-01,18.14
2011-06-01,17.95
2011-07-01,17.94
2011-08-01,17.75
2011-09-01,18.21
2011-10-01,18.68
2011-11-01,18.1
2011-12-01,17.19
2012-01-01,18.22
2012-02-01,18.63
2012-03-01,18.41
2012-04-01,18.21
2012-05-01,16.96
2012-06-01,16.34
2012-07-01,16.12
2012-08-01,15.69
2012-09-01,15.52
2012-10-01,15.14
2012-11-01,14.93
2012-12-01,13.95
2013-01-01,14.47
2013-02-01,14.59
2013-03-01,14.21
2013-04-01,14.11
2013-05-01,13.78
2013-06-01,13.34
2013-07-01,13.69
2013-08-01,13.55
2013-09-01,13.53
2013-10-01,13.79
2013-11-01,13.74
2013-12-01,13.28
2014-01-01,13.99
2014-02-01,14.75
2014-03-01,14.72
2014-04-01,14.81
2014-05-01,14.95
2014-06-01,15.02
2014-07-01,15.3
2014-08-01,15.18
2014-09-01,14.84
2014-10-01,15.18
2014-11-01,15.12
2014-12-01,14.61
2015-01-01,15.68
2015-02-01,16.28
2015-03-01,16.03
2015-04-01,16.75
2015-05-01,17.05
2015-06-01,17.44
2015-07-01,18.06
2015-08-01,18.32
2015-09-01,18.21
2015-10-01,18.83
2015-11-01,19.09
2015-12-01,18.21
2016-01-01,19.78
2016-02-01,20.56
2016-03-01,21.28
2016-04-01,21.99
2016-05-01,22.32
2016-06-01,22.17
2016-07-01,22.68
2016-08-01,22.93
2016-09-01,23.12
2016-10-01,23.61
2016-11-01,23.23
2016-12-01,22.31
2017-01-01,23.59
2017-02-01,23.55
2017-03-01,23.5
2017-04-01,22.01
2017-05-01,20.77
2017-06-01,20.64
2017-07-01,21.41
2017-08-01,21.28
2017-09-01,20.01
2017-10-01,20.58
2017-11-01,20.05
2017-12-01,18.75
2018-01-01,19.44
2018-02-01,20.08
2018-03-01,19.63
2018-04-01,19.39
2018-05-01,18.18
2018-06-01,17.31
2018-07-01,17.35
2018-08-01,17.12
2018-09-01,17.03
2018-10-01,17.71
2018-11-01,17.91
2018-12-01,16.73
2019-01-01,18.29
2019-02-01,18.7
2019-03-01,18.92
2019-04-01,18.99
2019-05-01,18.87
2019-06-01,19.15
2019-07-01,19.37
2019-08-01,19.53
2019-09-01,18.91
2019-10-01,18.8
2019-11-01,18.94
2019-12-01,17.91
2020-01-01,18.45
2020-02-01,18.65
2020-03-01,18.06
2020-04-01,17.08
2020-05-01,16.53
2020-06-01,15.45
2020-07-01,15.26
2020-08-01,14.81
2020-09-01,14.14
2020-10-01,14.4
2020-11-01,14.13
2020-12-01,14.29
2021-01-01,15.58
2021-02-01,15.38
2021-03-01,14.89
2021-04-01,14.96
2021-05-01,14.42
2021-06-01,14.34
2021-07-01,14.49
2021-08-01,14.35
2021-09-01,14.34
2021-10-01,15.07
2021-11-01,15.25
2021-12-01,15.7
2022-01-01,16.21
2022-02-01,16.76
2022-03-01,16.94
2022-04-01,17.24
2022-05-01,17.09
2022-06-01,17.51
2022-07-01,18.39
2022-08-01,18.57
2022-09-01,18.74
2022-10-01,19.9
2022-11-01,19.84
2022-12-01,18.85
2023-01-01,19.79
2023-02-01,20.19
2023-03-01,20.3
2023-04-01,21.29
2023-05-01,21.42
2023-06-01,21.16
2023-07-01,20.94
2023-08-01,20.59
2023-09-01,20.36
2023-10-01,19.91
2023-11-01,19.94
2023-12-01,19.45
2024-01-01,19.27
2024-02-01,19.28
2024-03-01,19.33
2024-04-01,19.06
2024-05-01,18.79
2024-06-01,18.54
2024-07-01,18.53
2024-08-01,18.46
2024-09-01,18.27
2024-10-01,18.27
2024-11-01,18.42
2024-12-01,17.52
2025-01-01,18.38
2025-02-01,19.31
2025-03-01,19.37
2025-04-01,19.98
2025-05-01,20.4
2025-06-01,20.6
2025-07-01,20.4
2025-08-01,20.61
2025-09-01,20.37
2025-10-01,20.75
2025-11-01,21.45
2025-12-01,21.11
2026-01-01,21.76
2026-02-01,22.11
2026-03-01,21.92
2026-04-01,22.6
