29/05/2026;Beta 1;Beta 2;Beta 3;Beta 4;Lambda 1;Lambda 2
PREFIXADOS;0,14033782939329;2,55267619585579E-03;-2,08656178964743E-02;1,35136440199781E-02;0,963906184248903;0,364755369869782
IPCA;6,76646630768185E-02;4,82630108900859E-02;-4,61949459236402E-02;0,041425116722569;2,33795207870162;0,520136412715787

ETTJ Inflação Implicita (IPCA)
Vertices;ETTJ IPCA;ETTJ PREF;Inflação Implícita
126;8,7774;13,9785;4,7814
252;8,0598;13,8483;5,3567
378;7,9397;13,8159;5,4439
504;7,9645;13,8332;5,4357
630;8,0043;13,8731;5,4338
756;8,0270;13,9204;5,4554
882;8,0291;13,9672;5,4967
1.008;8,0141;14,0097;5,5507
1.134;7,9869;14,0464;5,6113
1.260;7,9513;14,0769;5,6744
1.386;7,9106;14,1017;5,7372
1.512;7,8672;14,1213;5,7979
1.638;7,8227;14,1365;5,8557
1.764;7,7783;14,1480;5,9100
1.890;7,7349;14,1564;5,9604
2.016;7,6929;14,1623;6,0072
2.142;7,6527;14,1662;6,0504
2.268;7,6146;14,1685;6,0901
2.394;7,5785;14,1695;6,1266
2.520;7,5445;14,1695;6,1602
2.646;7,5125;14,1687;6,1910
2.772;7,4825;;
2.898;7,4544;;
3.024;7,4281;;
3.150;7,4035;;
3.276;7,3804;;
3.402;7,3587;;
3.528;7,3384;;
3.654;7,3193;;
3.780;7,3014;;
3.906;7,2845;;
4.032;7,2686;;
4.158;7,2536;;
4.284;7,2394;;
4.410;7,2261;;
4.536;7,2134;;
4.662;7,2014;;
4.788;7,1900;;
4.914;7,1792;;
5.040;7,1689;;
5.166;7,1591;;
5.292;7,1498;;
5.418;7,1409;;
5.544;7,1324;;
5.670;7,1243;;
5.796;7,1165;;
5.922;7,1091;;
6.048;7,1019;;
6.174;7,0951;;
6.300;7,0885;;
6.426;7,0822;;
6.552;7,0761;;
6.678;7,0703;;
6.804;7,0647;;
6.930;7,0592;;
7.056;7,0540;;
7.182;7,0490;;
7.308;7,0441;;
7.434;7,0394;;
7.560;7,0348;;
7.686;7,0304;;
7.812;7,0262;;
7.938;7,0221;;
8.064;7,0181;;
8.190;7,0142;;
8.316;7,0104;;
8.442;7,0068;;

PREFIXADOS (CIRCULAR 3.361)
Vertices;Taxa (%a.a.)
21;14,2197
42;14,1583
63;14,1041
126;13,9785
252;13,8483
504;13,8332
756;13,9204
1.008;14,0097
1.260;14,0769
2.520;14,1695

Erro Título a Título
Titulo;SELIC;Vencimento;Erro (%a.a.)
LTN;100000;01/07/2026;-0,1505
LTN;100000;01/10/2026;0,0900
LTN;100000;01/04/2027;0,0392
LTN;100000;01/07/2027;-0,0217
LTN;100000;01/10/2027;-0,0600
LTN;100000;01/01/2028;0,0057
LTN;100000;01/04/2028;0,0193
LTN;100000;01/07/2028;0,0427
LTN;100000;01/01/2029;0,0002
LTN;100000;01/07/2029;-0,0056
LTN;100000;01/01/2030;0,0244
LTN;100000;01/01/2032;0,0558
NTN-F;950199;01/01/2027;-0,0152
NTN-F;950199;01/01/2029;-0,0148
NTN-F;950199;01/01/2031;-0,0142
NTN-F;950199;01/01/2033;-0,0293
NTN-F;950199;01/01/2035;0,0140
NTN-F;950199;01/01/2037;-0,0036
NTN-B;760199;15/08/2026;-0,1735
NTN-B;760199;15/05/2027;0,0815
NTN-B;760199;15/08/2028;-0,0995
NTN-B;760199;15/05/2029;0,0469
NTN-B;760199;15/08/2030;0,0060
NTN-B;760199;15/05/2031;0,0367
NTN-B;760199;15/08/2032;-0,0008
NTN-B;760199;15/05/2033;-0,0206
NTN-B;760199;15/05/2035;-0,0172
NTN-B;760199;15/05/2037;0,0113
NTN-B;760199;15/08/2040;-0,0030
NTN-B;760199;15/05/2045;-0,0163
NTN-B;760199;15/08/2050;0,0128
NTN-B;760199;15/05/2055;0,0061
NTN-B;760199;15/08/2060;-0,0025

