"data";"valor"
"01/03/2011";"17,65"
"01/04/2011";"18,22"
"01/05/2011";"18,14"
"01/06/2011";"17,95"
"01/07/2011";"17,94"
"01/08/2011";"17,75"
"01/09/2011";"18,21"
"01/10/2011";"18,68"
"01/11/2011";"18,10"
"01/12/2011";"17,19"
"01/01/2012";"18,22"
"01/02/2012";"18,63"
"01/03/2012";"18,41"
"01/04/2012";"18,21"
"01/05/2012";"16,96"
"01/06/2012";"16,34"
"01/07/2012";"16,12"
"01/08/2012";"15,69"
"01/09/2012";"15,52"
"01/10/2012";"15,14"
"01/11/2012";"14,93"
"01/12/2012";"13,95"
"01/01/2013";"14,47"
"01/02/2013";"14,59"
"01/03/2013";"14,21"
"01/04/2013";"14,11"
"01/05/2013";"13,78"
"01/06/2013";"13,34"
"01/07/2013";"13,69"
"01/08/2013";"13,55"
"01/09/2013";"13,53"
"01/10/2013";"13,79"
"01/11/2013";"13,74"
"01/12/2013";"13,28"
"01/01/2014";"13,99"
"01/02/2014";"14,75"
"01/03/2014";"14,72"
"01/04/2014";"14,81"
"01/05/2014";"14,95"
"01/06/2014";"15,02"
"01/07/2014";"15,30"
"01/08/2014";"15,18"
"01/09/2014";"14,84"
"01/10/2014";"15,18"
"01/11/2014";"15,12"
"01/12/2014";"14,61"
"01/01/2015";"15,68"
"01/02/2015";"16,28"
"01/03/2015";"16,03"
"01/04/2015";"16,75"
"01/05/2015";"17,05"
"01/06/2015";"17,44"
"01/07/2015";"18,06"
"01/08/2015";"18,32"
"01/09/2015";"18,21"
"01/10/2015";"18,83"
"01/11/2015";"19,09"
"01/12/2015";"18,21"
"01/01/2016";"19,78"
"01/02/2016";"20,56"
"01/03/2016";"21,28"
"01/04/2016";"21,99"
"01/05/2016";"22,32"
"01/06/2016";"22,17"
"01/07/2016";"22,68"
"01/08/2016";"22,93"
"01/09/2016";"23,12"
"01/10/2016";"23,61"
"01/11/2016";"23,23"
"01/12/2016";"22,31"
"01/01/2017";"23,59"
"01/02/2017";"23,55"
"01/03/2017";"23,50"
"01/04/2017";"22,01"
"01/05/2017";"20,77"
"01/06/2017";"20,64"
"01/07/2017";"21,41"
"01/08/2017";"21,28"
"01/09/2017";"20,01"
"01/10/2017";"20,58"
"01/11/2017";"20,05"
"01/12/2017";"18,75"
"01/01/2018";"19,44"
"01/02/2018";"20,08"
"01/03/2018";"19,63"
"01/04/2018";"19,39"
"01/05/2018";"18,18"
"01/06/2018";"17,31"
"01/07/2018";"17,35"
"01/08/2018";"17,12"
"01/09/2018";"17,03"
"01/10/2018";"17,71"
"01/11/2018";"17,91"
"01/12/2018";"16,73"
"01/01/2019";"18,29"
"01/02/2019";"18,70"
"01/03/2019";"18,92"
"01/04/2019";"18,99"
"01/05/2019";"18,87"
"01/06/2019";"19,15"
"01/07/2019";"19,37"
"01/08/2019";"19,53"
"01/09/2019";"18,91"
"01/10/2019";"18,80"
"01/11/2019";"18,94"
"01/12/2019";"17,91"
"01/01/2020";"18,45"
"01/02/2020";"18,65"
"01/03/2020";"18,06"
"01/04/2020";"17,08"
"01/05/2020";"16,53"
"01/06/2020";"15,45"
"01/07/2020";"15,26"
"01/08/2020";"14,81"
"01/09/2020";"14,14"
"01/10/2020";"14,40"
"01/11/2020";"14,13"
"01/12/2020";"14,29"
"01/01/2021";"15,58"
"01/02/2021";"15,38"
"01/03/2021";"14,89"
"01/04/2021";"14,96"
"01/05/2021";"14,42"
"01/06/2021";"14,34"
"01/07/2021";"14,49"
"01/08/2021";"14,35"
"01/09/2021";"14,34"
"01/10/2021";"15,07"
"01/11/2021";"15,25"
"01/12/2021";"15,70"
"01/01/2022";"16,21"
"01/02/2022";"16,76"
"01/03/2022";"16,94"
"01/04/2022";"17,24"
"01/05/2022";"17,09"
"01/06/2022";"17,51"
"01/07/2022";"18,39"
"01/08/2022";"18,57"
"01/09/2022";"18,74"
"01/10/2022";"19,90"
"01/11/2022";"19,84"
"01/12/2022";"18,85"
"01/01/2023";"19,79"
"01/02/2023";"20,19"
"01/03/2023";"20,30"
"01/04/2023";"21,29"
"01/05/2023";"21,42"
"01/06/2023";"21,16"
"01/07/2023";"20,94"
"01/08/2023";"20,59"
"01/09/2023";"20,36"
"01/10/2023";"19,91"
"01/11/2023";"19,94"
"01/12/2023";"19,45"
"01/01/2024";"19,27"
"01/02/2024";"19,28"
"01/03/2024";"19,33"
"01/04/2024";"19,06"
"01/05/2024";"18,79"
"01/06/2024";"18,54"
"01/07/2024";"18,53"
"01/08/2024";"18,46"
"01/09/2024";"18,27"
"01/10/2024";"18,27"
"01/11/2024";"18,42"
"01/12/2024";"17,52"
"01/01/2025";"18,38"
"01/02/2025";"19,31"
"01/03/2025";"19,37"
"01/04/2025";"19,98"
"01/05/2025";"20,40"
"01/06/2025";"20,60"
"01/07/2025";"20,40"
"01/08/2025";"20,61"
"01/09/2025";"20,37"
"01/10/2025";"20,75"
"01/11/2025";"21,45"
"01/12/2025";"21,11"
"01/01/2026";"21,76"
"01/02/2026";"22,11"
"01/03/2026";"21,92"
"01/04/2026";"22,60"
