Tipo Titulo;Data Vencimento;Data Base;Taxa Compra Manha;Taxa Venda Manha;PU Compra Manha;PU Venda Manha;PU Base Manha
Tesouro Prefixado com Juros Semestrais;01/01/2014;29/04/2008;14,03;14,09;884,44;882,48;882,02
Tesouro Prefixado com Juros Semestrais;01/01/2013;29/04/2008;14,04;14,10;903,08;901,34;900,87
Tesouro Prefixado com Juros Semestrais;01/01/2010;29/04/2008;13,89;13,94;977,42;976,76;976,25
Tesouro Prefixado com Juros Semestrais;01/07/2010;29/04/2008;13,99;14,05;963,16;962,17;961,67
Tesouro Prefixado com Juros Semestrais;01/01/2011;29/04/2008;14,01;14,07;948,70;947,54;947,05
Tesouro Prefixado com Juros Semestrais;01/01/2012;29/04/2008;14,03;14,09;924,38;922,91;922,43
Tesouro Prefixado com Juros Semestrais;01/01/2017;29/04/2008;13,96;14,02;844,35;841,91;841,47
Tesouro Prefixado;01/07/2010;28/04/2008;13,82;13,88;755,04;754,17;753,78
Tesouro Prefixado;01/01/2010;28/04/2008;13,72;13,77;805,47;804,87;804,46
Tesouro Prefixado;01/04/2009;28/04/2008;13,08;13,12;891,69;891,39;890,96
Tesouro Prefixado;01/07/2009;28/04/2008;13,39;13,43;862,77;862,41;861,98
Tesouro Prefixado;01/10/2009;28/04/2008;13,62;13,66;832,83;832,41;831,99
Tesouro Prefixado;01/01/2009;28/04/2008;12,74;12,78;920,53;920,31;919,87
Tesouro Prefixado;01/10/2008;28/04/2008;12,36;12,39;950,84;950,73;950,29
Tesouro Prefixado;01/07/2008;28/04/2008;11,88;11,91;981,02;980,98;980,54
Tesouro Prefixado com Juros Semestrais;01/07/2010;28/04/2008;13,83;13,89;965,28;964,30;963,80
Tesouro Prefixado com Juros Semestrais;01/01/2017;28/04/2008;13,81;13,87;850,07;847,60;847,16
Tesouro Prefixado com Juros Semestrais;01/01/2011;28/04/2008;13,83;13,89;951,71;950,54;950,05
Tesouro Prefixado com Juros Semestrais;01/01/2012;28/04/2008;13,85;13,91;928,35;926,86;926,38
Tesouro Prefixado com Juros Semestrais;01/01/2013;28/04/2008;13,88;13,94;907,27;905,52;905,05
Tesouro Prefixado com Juros Semestrais;01/01/2014;28/04/2008;13,87;13,93;889,24;887,26;886,80
Tesouro Prefixado com Juros Semestrais;01/01/2010;28/04/2008;13,73;13,78;979,03;978,37;977,87
Tesouro Prefixado;01/07/2009;25/04/2008;13,35;13,39;862,70;862,34;861,91
Tesouro Prefixado;01/10/2009;25/04/2008;13,61;13,65;832,51;832,09;831,67
Tesouro Prefixado;01/01/2010;25/04/2008;13,72;13,77;805,06;804,46;804,05
Tesouro Prefixado;01/07/2010;25/04/2008;13,86;13,92;754,07;753,21;752,82
Tesouro Prefixado;01/01/2009;25/04/2008;12,71;12,75;920,26;920,04;919,60
Tesouro Prefixado;01/10/2008;25/04/2008;12,32;12,35;950,55;950,43;950,00
Tesouro Prefixado;01/04/2009;25/04/2008;13,03;13,07;891,62;891,33;890,89
Tesouro Prefixado;01/07/2008;25/04/2008;11,87;11,90;980,60;980,55;980,12
Tesouro Prefixado com Juros Semestrais;01/01/2017;25/04/2008;13,90;13,96;845,93;843,47;843,04
Tesouro Prefixado com Juros Semestrais;01/01/2014;25/04/2008;13,94;14,00;886,47;884,50;884,04
Tesouro Prefixado com Juros Semestrais;01/01/2013;25/04/2008;13,95;14,01;904,76;903,01;902,54
Tesouro Prefixado com Juros Semestrais;01/01/2010;25/04/2008;13,73;13,78;978,53;977,87;977,37
Tesouro Prefixado com Juros Semestrais;01/07/2010;25/04/2008;13,87;13,93;964,13;963,14;962,64
Tesouro Prefixado com Juros Semestrais;01/01/2011;25/04/2008;13,89;13,95;950,05;948,88;948,39
Tesouro Prefixado com Juros Semestrais;01/01/2012;25/04/2008;13,90;13,96;926,63;925,15;924,67
Tesouro Prefixado;01/01/2010;24/04/2008;13,62;13,67;805,85;805,25;804,84
Tesouro Prefixado;01/10/2009;24/04/2008;13,55;13,59;832,73;832,30;831,88
Tesouro Prefixado;01/07/2009;24/04/2008;13,31;13,35;862,63;862,27;861,84
Tesouro Prefixado;01/04/2009;24/04/2008;13,02;13,06;891,26;890,97;890,53
Tesouro Prefixado;01/01/2009;24/04/2008;12,69;12,73;919,94;919,71;919,28
Tesouro Prefixado;01/10/2008;24/04/2008;12,32;12,35;950,11;950,00;949,56
Tesouro Prefixado;01/07/2008;24/04/2008;11,88;11,91;980,15;980,10;979,66
Tesouro Prefixado;01/07/2010;24/04/2008;13,75;13,81;755,27;754,40;754,02
Tesouro Prefixado com Juros Semestrais;01/01/2013;24/04/2008;13,86;13,92;906,92;905,17;904,70
Tesouro Prefixado com Juros Semestrais;01/01/2012;24/04/2008;13,83;13,89;927,89;926,40;925,92
Tesouro Prefixado com Juros Semestrais;01/01/2017;24/04/2008;13,85;13,91;847,55;845,08;844,65
Tesouro Prefixado com Juros Semestrais;01/01/2011;24/04/2008;13,82;13,88;950,93;949,76;949,27
